left,top,height,width,type,value,group
664,141,52,268,field,nan,0
160,229,60,764,field,nan,0
581,302,54,348,field,nan,0
236,307,60,255,field,nan,0
73,1019,225,856,field,nan,0
723,1290,71,200,field,nan,0
901,914,26,26,radio,nan,0
823,914,26,26,radio,nan,0
746,914,26,26,radio,nan,0
668,914,26,26,radio,nan,0
583,914,26,26,radio,nan,0
901,786,26,26,radio,nan,0
824,786,26,26,radio,nan,0
747,786,26,26,radio,nan,0
669,786,26,26,radio,nan,0
583,786,26,26,radio,nan,0
901,711,26,26,radio,nan,0
823,711,26,26,radio,nan,0
746,711,26,26,radio,nan,0
668,711,26,26,radio,nan,0
583,711,26,26,radio,nan,0
901,638,26,26,radio,nan,0
823,638,26,26,radio,nan,0
746,638,26,26,radio,nan,0
668,638,26,26,radio,nan,0
583,638,26,26,radio,nan,0
906,573,26,26,radio,nan,0
829,573,26,26,radio,nan,0
751,573,26,26,radio,nan,0
674,573,26,26,radio,nan,0
588,573,26,26,radio,nan,0
75,425,45,67,checkbox,nan,0
639,429,37,57,checkbox,nan,0
360,432,37,57,checkbox,nan,0
75,479,45,67,checkbox,nan,0
360,483,37,57,checkbox,nan,0
412,81,35,176,label,FeedbackForm,0
581,153,35,53,label,Date,0
80,237,35,70,label,Name:,0
80,314,35,143,label,Enrollmentno,0
78,380,35,292,label,Whatdidyoulikeverymuch?,0
152,433,35,132,label,Environment,0
440,433,35,151,label,Administration,0
712,431,35,222,label,Attitudeofemployees,0
152,488,35,141,label,Infrastructure,0
438,486,35,217,label,TalentandInnovation,0
75,574,35,341,label,Ratesupportivenessofemployees.,0
70,639,35,444,label,Ratetheimpactofprojectscompanytsdoing.,0
70,712,35,380,label,Ratetheoverallexperienceofthevisit.,0
70,788,35,341,label,Ratequalityofprovidedresources.,0
70,852,35,663,label,Howmuchlikelydoyourecommendthecompanyfortheirservices?,0
76,972,35,287,label,Anyconstructivesuggestions,0
756,1250,17,100,label,SienHera,0
