left,top,height,width,type,value,group
534,94,38,204,field,nan,0
135,152,55,407,field,nan,0
417,212,55,334,field,nan,0
133,213,55,211,field,nan,0
74,770,297,619,field,nan,0
114,333,23,23,radio,nan,0
166,333,23,23,radio,nan,0
308,333,23,23,radio,nan,0
402,333,23,23,radio,nan,0
450,333,23,23,radio,nan,0
503,333,23,23,radio,nan,0
552,333,23,23,radio,nan,0
212,334,23,23,radio,nan,0
354,334,23,23,radio,nan,0
261,335,23,23,radio,nan,0
610,460,23,23,radio,nan,0
167,461,23,23,radio,nan,0
304,461,23,23,radio,nan,0
440,461,23,23,radio,nan,0
68,603,31,47,checkbox,nan,0
219,604,31,47,checkbox,nan,0
68,665,30,47,checkbox,nan,0
219,665,30,48,checkbox,nan,0
